"","1-2","2-4","4-8","8-16","16-32","32-64","64-128","128-256","256-512","512-1024"
"1776",9967.4436787401,10386.5436343579,8869.5150433348,9286.53335749187,9339.27368670793,11294.6297906072,12018.5275255286,11760.8473895126,12276.0836854777,10973.7476213943
"1777",9967.4436787401,10386.5436343579,8869.5150433348,9286.53335749187,9339.27368670793,11294.6297906072,12018.5275255286,11760.8473895126,12276.0836854777,10973.7476213943
"1778",9968.13148670435,10388.4367958798,8865.5150433348,9280.53335749187,9336.27368670793,11287.6297906072,12013.5275255286,11757.8473895126,12273.0836854777,10973.7476213943
"1779",9967.13148670435,10391.1562563137,8866.66064511365,9277.53335749187,9351.77368670793,11285.6297906072,12012.5275255286,11755.8473895126,12272.0836854777,10973.7476213943
"1780",9967.08216501652,10389.753622629,8863.66064511365,9276.53335749187,9349.77368670793,11282.6297906072,12009.5275255286,11749.8473895126,12269.0836854777,10972.7476213943
"1781",9967.08216501652,10389.753622629,8863.66064511365,9276.53335749187,9349.77368670793,11282.6297906072,12009.5275255286,11749.8473895126,12269.0836854777,10972.7476213943
"1782",9967.08216501652,10389.753622629,8863.66064511365,9276.53335749187,9349.77368670793,11282.6297906072,12009.5275255286,11749.8473895126,12269.0836854777,10972.7476213943
"1783",9966.42216501652,10392.403622629,8867.06064511365,9273.53335749187,9348.77368670793,11280.6297906072,12005.5275255286,11748.8473895126,12267.0836854777,10971.7476213943
"1784",9966.42216501652,10392.403622629,8867.06064511365,9273.53335749187,9348.77368670793,11280.6297906072,12005.5275255286,11748.8473895126,12267.0836854777,10971.7476213943
"1785",9966.42216501652,10391.4974408317,8872.46064511365,9272.53335749187,9346.77368670793,11278.6297906072,12004.5275255286,11747.8473895126,12266.0836854777,10971.7476213943
"1786",9967.21864924552,10390.4974408317,8869.46064511365,9271.53335749187,9344.77368670793,11276.6297906072,12002.5275255286,11747.8473895126,12266.0836854777,10971.7476213943
"1787",9967.21864924552,10390.4974408317,8869.46064511365,9271.53335749187,9344.77368670793,11276.6297906072,12002.5275255286,11747.8473895126,12266.0836854777,10971.7476213943
"1788",9967.21864924552,10390.4974408317,8869.46064511365,9271.53335749187,9344.77368670793,11276.6297906072,12002.5275255286,11747.8473895126,12266.0836854777,10971.7476213943
"1789",9967.21864924552,10390.4974408317,8869.46064511365,9271.53335749187,9344.77368670793,11276.6297906072,12002.5275255286,11747.8473895126,12266.0836854777,10971.7476213943
"1790",9967.76691214298,10391.0674408317,8870.46064511365,9270.53335749187,9343.77368670793,11273.6297906072,12000.5275255286,11745.8473895126,12265.0836854777,10969.7476213943
"1791",9967.76691214298,10391.0674408317,8870.46064511365,9270.53335749187,9343.77368670793,11273.6297906072,12000.5275255286,11745.8473895126,12265.0836854777,10969.7476213943
"1792",9968.46088140857,10390.0674408317,8870.46064511365,9277.26076951735,9368.68430484362,11269.6297906072,11998.5275255286,11744.8473895126,12265.0836854777,10969.7476213943
"1793",9968.46088140857,10390.0674408317,8870.46064511365,9277.26076951735,9368.68430484362,11269.6297906072,11998.5275255286,11744.8473895126,12265.0836854777,10969.7476213943
"1794",9967.01088140857,10388.0674408317,8868.46064511365,9276.26076951735,9366.68430484362,11267.6297906072,11997.5275255286,11742.8473895126,12263.0836854777,10969.7476213943
"1795",9967.62088140857,10387.8274408317,8866.46064511365,9275.26076951735,9364.68430484362,11265.6297906072,11994.5275255286,11742.8473895126,12262.0836854777,10969.7476213943
"1796",9967.62088140857,10388.2399172352,8866.46064511365,9273.26076951735,9359.68430484362,11261.6297906072,11992.5275255286,11741.8473895126,12261.0836854777,10968.7476213943
"1797",9967.66538662124,10392.9283963168,8864.46064511365,9268.26076951735,9357.68430484362,11259.6297906072,11991.5275255286,11738.8473895126,12261.0836854777,10967.7476213943
"1798",9967.66538662124,10392.9283963168,8864.46064511365,9268.26076951735,9357.68430484362,11259.6297906072,11991.5275255286,11738.8473895126,12261.0836854777,10967.7476213943
"1799",9967.66538662124,10391.9283963168,8863.46064511365,9267.26076951735,9356.68430484362,11258.6297906072,11990.5275255286,11735.8473895126,12261.0836854777,10965.7476213943
"1800",9967.66538662124,10395.2278008648,8859.46064511365,9265.26076951735,9373.89150694217,11257.6297906072,11987.5275255286,11732.8473895126,12260.0836854777,10964.7476213943
"1801",9968.63641427464,10397.6839951009,8858.46064511365,9263.26076951735,9371.89150694217,11254.6297906072,11981.5275255286,11728.8473895126,12258.0836854777,10963.7476213943
"1802",9967.78641427464,10395.8773205163,8856.46064511365,9261.26076951735,9384.66611240378,11252.6297906072,11979.5275255286,11727.8473895126,12256.0836854777,10961.7476213943
"1803",9967.78641427464,10395.8773205163,8856.46064511365,9261.26076951735,9384.66611240378,11252.6297906072,11979.5275255286,11727.8473895126,12256.0836854777,10961.7476213943
"1804",9967.78641427464,10395.8773205163,8856.46064511365,9261.26076951735,9384.66611240378,11252.6297906072,11979.5275255286,11727.8473895126,12256.0836854777,10961.7476213943
"1805",9967.78641427464,10402.5785437327,8852.46064511365,9259.26076951735,9382.66611240378,11249.6297906072,11978.5275255286,11725.8473895126,12255.0836854777,10960.7476213943
