"EVENT_ID","MENU_HINT","EVENT_NAME","EVENT_DT","SELECTION_ID","SELECTION_NAME","WIN_LOSE","BSP","PPWAP","MORNINGWAP","PPMAX","PPMIN","IPMAX","IPMIN","MORNINGTRADEDVOL","PPTRADEDVOL","IPTRADEDVOL","Date","Year","Month"
"20390893","GB / Leic 28th Apr","1m2f Mdn Stks","28-04-2007 17:05","1213608","Good Cause","0","","55.490550890381946969644239086781743391","31.0652362376571299931129562671830112569","95","38","300","50","28","2875.68","110.82",2007-04-28 17:05:00,2007,4
"20390893","GB / Leic 28th Apr","1m2f Mdn Stks","28-04-2007 17:05","1534055","Many Volumes","1","","1.7445514315542679768610181702888392392","1.7249453648369563725315733046446512952","1.88","1.61","2","1.01","13637.48","386967.46","180931.44",2007-04-28 17:05:00,2007,4
"20390893","GB / Leic 28th Apr","1m2f Mdn Stks","28-04-2007 17:05","2153018","Evita","0","","30.451728759774864056158102643516404686","31.1287300408995350826972579405670002615","50","24","50","21","58","3939.68","277.92",2007-04-28 17:05:00,2007,4
"20390893","GB / Leic 28th Apr","1m2f Mdn Stks","28-04-2007 17:05","2159719","Long Gone","0","","174.744709670098018099465528230019687055","125.354309949010657064500700021441004687","320","60","1000","1000","58","1287.32","4",2007-04-28 17:05:00,2007,4
"20390893","GB / Leic 28th Apr","1m2f Mdn Stks","28-04-2007 17:05","2349513","Manbar","0","","10.2163654057039901706111953732607098781","10.0289965475522169101137010965376222271","12","8.8","190","5.1","483.1","11735.94","1892.54",2007-04-28 17:05:00,2007,4
"20390893","GB / Leic 28th Apr","1m2f Mdn Stks","28-04-2007 17:05","2392615","Cedar Mountain","0","","5.67839182918012162287949636310180881329","7.14186571500229132159684884317959335706","8.4","5","190","3","1028.62","50679.88","4216.02",2007-04-28 17:05:00,2007,4
"20390893","GB / Leic 28th Apr","1m2f Mdn Stks","28-04-2007 17:05","2392616","Wing Express","0","","9.64520784228555698719544023284372192665","8.83454382553900390217367919120756847546","11.5","7.6","18","9","749.2","18000.38","1418.78",2007-04-28 17:05:00,2007,4
"20390895","GB / Leic 28th Apr","1m Hcap","28-04-2007 17:35","1472578","Just Oscar","0","","38.9936662526848764010677841219939866331","40.0456819096758502104240026427445983131","50","30","40","20","101.94","2775.8","151.6",2007-04-28 17:35:00,2007,4
"20390895","GB / Leic 28th Apr","1m Hcap","28-04-2007 17:35","1506319","Iced Tango","0","","153.747374165266193953691941174100178471","61.6973974363509864270468508626077522671","290","90","1000","100","4.24","600.74","16.52",2007-04-28 17:35:00,2007,4
"20390895","GB / Leic 28th Apr","1m Hcap","28-04-2007 17:35","1509093","Follow The Flag","0","","16.8982501915199637489174376936092295216","25.1093400832116663293781581888874875034","38","13.5","20","14","303.98","6131.52","220.22",2007-04-28 17:35:00,2007,4
"20390895","GB / Leic 28th Apr","1m Hcap","28-04-2007 17:35","1544268","Mick Is Back","0","","8.01771804349027526808625905241250013348","9.08892438948017307784082998425656995968","11","6.8","1000","2","851.8","22977.9","3895.28",2007-04-28 17:35:00,2007,4
"20390895","GB / Leic 28th Apr","1m Hcap","28-04-2007 17:35","2050549","Support Fund","0","","12.190260245080586536522478090922927742","12.6978989982948139166088697651518586361","14.5","10","12.5","10","290.3","8801.16","330.3",2007-04-28 17:35:00,2007,4
"20390895","GB / Leic 28th Apr","1m Hcap","28-04-2007 17:35","2051813","Tetouan","1","","3.31793034081485239138789214465642753456","3.37042946383974624803299817094139702382","3.75","2.98","7","1.01","7983.2","144315.6","78227.6",2007-04-28 17:35:00,2007,4
"20390895","GB / Leic 28th Apr","1m Hcap","28-04-2007 17:35","2051825","Red Current","0","","13.8410901626146402531913452626586009236","5.66058226164742986940448930868913548655","22","5.4","24","10","981.56","11427.66","583.88",2007-04-28 17:35:00,2007,4
"20390895","GB / Leic 28th Apr","1m Hcap","28-04-2007 17:35","2072039","April Fool","0","","17.8695453428984322383819280070177208265","30.6617147875577212787308932549741780505","38","13.5","18","18","124.52","5962.46","90.48",2007-04-28 17:35:00,2007,4
"20390895","GB / Leic 28th Apr","1m Hcap","28-04-2007 17:35","2074142","Tenancy","0","","10.6225096200792623247736172191032796202","19.0840143270246328169632297225422701535","23","8","11","5","203.26","11974.78","3739.92",2007-04-28 17:35:00,2007,4
